Product Name,Brand,Skin Concern,Severity,Ingredients,Product Type,Skin Type,Price,Customer Rating,Reviews,Availability,Feature_Blob
Neutrogena Spot Treatment,Eucerin,Nodules,High,Zinc PCA  Vitamin C  Retinol  Tea Tree Oil,Spot Treatment,"normal, dry",440.53,4.8,2729,Nykaa,Nodules High Zinc PCA  Vitamin C  Retinol  Tea Tree Oil Spot Treatment
The Ordinary Spot Treatment,La Roche-Posay,"Blackheads, Dark Spot, Nodules",Low,Zinc PCA  Salicylic Acid,Cleanser,"normal, dry",1367.32,4.5,279,"Amazon, Official Website","Blackheads, Dark Spot, Nodules Low Zinc PCA  Salicylic Acid Cleanser"
Cetaphil Moisturizer,CeraVe,"Dark Spot, Pustules, Whiteheads",Low,Tea Tree Oil  Niacinamide  Glycolic Acid  Benzoyl Peroxide  Retinol,Serum,"combination, normal",312.04,4.8,3859,"Sephora, Ulta, Nykaa","Dark Spot, Pustules, Whiteheads Low Tea Tree Oil  Niacinamide  Glycolic Acid  Benzoyl Peroxide  Retinol Serum"
The Ordinary Exfoliator,Cetaphil,"Dark Spot, Nodules, Pustules",Medium,Zinc PCA  Glycolic Acid  Retinol,Toner,"dry, combination, sensitive",1675.61,4.7,3032,"Sephora, Amazon, Dermstore","Dark Spot, Nodules, Pustules Medium Zinc PCA  Glycolic Acid  Retinol Toner"
Clinique Moisturizer,La Roche-Posay,Dark Spot,Medium,Lactic Acid  Vitamin C  Glycolic Acid  Centella Asiatica  Azelaic Acid,Cleanser,"oily, normal, combination",1136.92,4.1,4284,Ulta,Dark Spot Medium Lactic Acid  Vitamin C  Glycolic Acid  Centella Asiatica  Azelaic Acid Cleanser
CeraVe Exfoliator,Eucerin,"Blackheads, Dark Spot",Low,Niacinamide  Salicylic Acid,Spot Treatment,"oily, normal, sensitive",2996.01,4.2,3474,"Dermstore, Official Website, Ulta","Blackheads, Dark Spot Low Niacinamide  Salicylic Acid Spot Treatment"
Innisfree Exfoliator,La Roche-Posay,"Blackheads, Dark Spot, Nodules",Low,Lactic Acid  Glycolic Acid,Spot Treatment,"combination, dry",2043.17,4.5,4160,Dermstore,"Blackheads, Dark Spot, Nodules Low Lactic Acid  Glycolic Acid Spot Treatment"
Neutrogena Moisturizer,The Ordinary,"Nodules, Papules, Pustules",Medium,Niacinamide  Vitamin C  Hyaluronic Acid  Lactic Acid,Moisturizer,dry,846.88,3.6,1127,"Nykaa, Official Website","Nodules, Papules, Pustules Medium Niacinamide  Vitamin C  Hyaluronic Acid  Lactic Acid Moisturizer"
Cetaphil Spot Treatment,Clinique,Papules,Medium,Niacinamide  Azelaic Acid  Glycolic Acid  Benzoyl Peroxide,Moisturizer,"sensitive, combination, dry",2247.11,3.8,3190,"Sephora, Nykaa, Ulta",Papules Medium Niacinamide  Azelaic Acid  Glycolic Acid  Benzoyl Peroxide Moisturizer
La Roche-Posay Moisturizer,CeraVe,"Dark Spot, Pustules",Medium,Zinc PCA  Azelaic Acid  Hyaluronic Acid  Benzoyl Peroxide,Serum,"dry, sensitive",2993.9,4.2,843,Nykaa,"Dark Spot, Pustules Medium Zinc PCA  Azelaic Acid  Hyaluronic Acid  Benzoyl Peroxide Serum"
Innisfree Cleanser,The Ordinary,Pustules,High,Benzoyl Peroxide  Salicylic Acid  Centella Asiatica  Glycolic Acid,Moisturizer,"combination, dry",2291.58,4.4,4709,"Amazon, Nykaa",Pustules High Benzoyl Peroxide  Salicylic Acid  Centella Asiatica  Glycolic Acid Moisturizer
Bioderma Serum,Innisfree,Pustules,High,Niacinamide  Centella Asiatica  Zinc PCA  Salicylic Acid,Toner,"normal, sensitive, dry",2717.78,4.4,2806,"Amazon, Ulta",Pustules High Niacinamide  Centella Asiatica  Zinc PCA  Salicylic Acid Toner
CeraVe Exfoliator,Neutrogena,"Blackheads, Pustules",Low,Niacinamide  Benzoyl Peroxide  Hyaluronic Acid,Toner,"sensitive, normal",2123.41,3.6,642,"Dermstore, Official Website, Amazon","Blackheads, Pustules Low Niacinamide  Benzoyl Peroxide  Hyaluronic Acid Toner"
Eucerin Moisturizer,Neutrogena,"Blackheads, Nodules, Papules",Low,Salicylic Acid  Centella Asiatica  Vitamin C,Moisturizer,"sensitive, normal, combination",2101.82,4.1,3815,"Nykaa, Official Website","Blackheads, Nodules, Papules Low Salicylic Acid  Centella Asiatica  Vitamin C Moisturizer"
La Roche-Posay Exfoliator,CeraVe,"Nodules, Papules, Pustules",Medium,Retinol  Niacinamide,Toner,"oily, dry, combination",1727.63,3.8,1397,"Nykaa, Amazon","Nodules, Papules, Pustules Medium Retinol  Niacinamide Toner"
CeraVe Serum,Clinique,Papules,Medium,Hyaluronic Acid  Glycolic Acid,Toner,"normal, dry, combination",2716.66,4.4,572,"Amazon, Sephora",Papules Medium Hyaluronic Acid  Glycolic Acid Toner
La Roche-Posay Spot Treatment,La Roche-Posay,"Dark Spot, Papules",Medium,Centella Asiatica  Benzoyl Peroxide,Toner,"dry, oily, combination",1282.22,3.9,503,"Sephora, Official Website","Dark Spot, Papules Medium Centella Asiatica  Benzoyl Peroxide Toner"
Cetaphil Toner,Clinique,"Blackheads, Nodules",Low,Niacinamide  Retinol  Benzoyl Peroxide  Azelaic Acid,Exfoliator,"dry, sensitive, combination",1228.03,4.5,3787,"Ulta, Official Website, Dermstore","Blackheads, Nodules Low Niacinamide  Retinol  Benzoyl Peroxide  Azelaic Acid Exfoliator"
Innisfree Cleanser,Cetaphil,"Blackheads, Whiteheads",Low,Retinol  Benzoyl Peroxide  Glycolic Acid  Niacinamide,Moisturizer,"dry, normal",1727.61,3.7,4381,Official Website,"Blackheads, Whiteheads Low Retinol  Benzoyl Peroxide  Glycolic Acid  Niacinamide Moisturizer"
Cetaphil Toner,Cetaphil,"Blackheads, Whiteheads",Low,Azelaic Acid  Salicylic Acid  Glycolic Acid  Lactic Acid  Retinol,Spot Treatment,"sensitive, oily",1922.14,3.7,4966,Sephora,"Blackheads, Whiteheads Low Azelaic Acid  Salicylic Acid  Glycolic Acid  Lactic Acid  Retinol Spot Treatment"
La Roche-Posay Cleanser,Neutrogena,"Blackheads, Papules, Pustules",Low,Niacinamide  Retinol,Cleanser,"sensitive, oily",2862.28,3.6,2169,Ulta,"Blackheads, Papules, Pustules Low Niacinamide  Retinol Cleanser"
Paula's Choice Toner,Eucerin,"Papules, Pustules",Medium,Centella Asiatica  Hyaluronic Acid,Spot Treatment,"dry, sensitive, combination",1936.73,4.2,4035,Dermstore,"Papules, Pustules Medium Centella Asiatica  Hyaluronic Acid Spot Treatment"
Paula's Choice Serum,La Roche-Posay,Dark Spot,Medium,Retinol  Hyaluronic Acid  Lactic Acid  Glycolic Acid  Azelaic Acid,Cleanser,"dry, combination",1056.89,4.6,4247,"Nykaa, Dermstore",Dark Spot Medium Retinol  Hyaluronic Acid  Lactic Acid  Glycolic Acid  Azelaic Acid Cleanser
Clinique Toner,Clinique,"Blackheads, Whiteheads",Low,Hyaluronic Acid  Lactic Acid  Tea Tree Oil  Zinc PCA  Azelaic Acid,Toner,normal,850.74,4.6,3660,"Amazon, Ulta, Official Website","Blackheads, Whiteheads Low Hyaluronic Acid  Lactic Acid  Tea Tree Oil  Zinc PCA  Azelaic Acid Toner"
Eucerin Exfoliator,Bioderma,"Blackheads, Nodules",Low,Benzoyl Peroxide  Hyaluronic Acid  Centella Asiatica  Glycolic Acid  Retinol,Serum,sensitive,1062.09,4.5,953,Dermstore,"Blackheads, Nodules Low Benzoyl Peroxide  Hyaluronic Acid  Centella Asiatica  Glycolic Acid  Retinol Serum"
Clinique Cleanser,The Ordinary,"Blackheads, Nodules, Pustules",Low,Benzoyl Peroxide  Zinc PCA,Serum,oily,1808.39,4.8,3671,Official Website,"Blackheads, Nodules, Pustules Low Benzoyl Peroxide  Zinc PCA Serum"
Paula's Choice Cleanser,Clinique,"Dark Spot, Nodules, Papules",Medium,Hyaluronic Acid  Centella Asiatica  Salicylic Acid,Cleanser,oily,2088.95,3.7,3673,"Sephora, Official Website","Dark Spot, Nodules, Papules Medium Hyaluronic Acid  Centella Asiatica  Salicylic Acid Cleanser"
Neutrogena Toner,Neutrogena,Dark Spot,Medium,Niacinamide  Hyaluronic Acid  Centella Asiatica  Lactic Acid  Retinol,Exfoliator,combination,1019.4,4.6,2107,"Official Website, Amazon",Dark Spot Medium Niacinamide  Hyaluronic Acid  Centella Asiatica  Lactic Acid  Retinol Exfoliator
Paula's Choice Spot Treatment,Bioderma,"Blackheads, Pustules, Whiteheads",Low,Benzoyl Peroxide  Vitamin C  Azelaic Acid  Salicylic Acid  Centella Asiatica,Toner,"combination, dry, sensitive",1223.8,4.7,2687,"Ulta, Amazon","Blackheads, Pustules, Whiteheads Low Benzoyl Peroxide  Vitamin C  Azelaic Acid  Salicylic Acid  Centella Asiatica Toner"
Bioderma Exfoliator,Neutrogena,"Blackheads, Dark Spot, Papules",Low,Azelaic Acid  Retinol,Serum,"combination, dry",2898.84,3.8,2751,"Ulta, Dermstore","Blackheads, Dark Spot, Papules Low Azelaic Acid  Retinol Serum"
La Roche-Posay Moisturizer,Innisfree,"Nodules, Pustules",High,Benzoyl Peroxide  Lactic Acid  Tea Tree Oil  Zinc PCA,Toner,"dry, sensitive, normal",1350.37,4.6,3286,"Official Website, Nykaa","Nodules, Pustules High Benzoyl Peroxide  Lactic Acid  Tea Tree Oil  Zinc PCA Toner"
CeraVe Cleanser,The Ordinary,"Blackheads, Dark Spot",Low,Azelaic Acid  Centella Asiatica  Zinc PCA  Retinol  Hyaluronic Acid,Exfoliator,oily,1772.67,4.4,3900,Amazon,"Blackheads, Dark Spot Low Azelaic Acid  Centella Asiatica  Zinc PCA  Retinol  Hyaluronic Acid Exfoliator"
Clinique Moisturizer,Neutrogena,Dark Spot,Medium,Centella Asiatica  Lactic Acid  Tea Tree Oil  Niacinamide,Serum,"normal, dry, oily",1287.39,4.9,217,"Ulta, Nykaa",Dark Spot Medium Centella Asiatica  Lactic Acid  Tea Tree Oil  Niacinamide Serum
Cetaphil Cleanser,La Roche-Posay,Nodules,High,Tea Tree Oil  Hyaluronic Acid  Lactic Acid  Centella Asiatica,Moisturizer,"combination, oily",2968.52,4.0,3645,Sephora,Nodules High Tea Tree Oil  Hyaluronic Acid  Lactic Acid  Centella Asiatica Moisturizer
Bioderma Spot Treatment,Neutrogena,Pustules,High,Azelaic Acid  Lactic Acid,Toner,"oily, combination",987.78,4.5,4991,Official Website,Pustules High Azelaic Acid  Lactic Acid Toner
La Roche-Posay Cleanser,La Roche-Posay,"Blackheads, Nodules, Pustules",Low,Tea Tree Oil  Benzoyl Peroxide,Serum,"normal, oily, combination",2153.84,3.6,694,Amazon,"Blackheads, Nodules, Pustules Low Tea Tree Oil  Benzoyl Peroxide Serum"
Clinique Moisturizer,Bioderma,"Dark Spot, Nodules, Papules",Medium,Benzoyl Peroxide  Salicylic Acid  Zinc PCA,Spot Treatment,"dry, oily",1869.39,4.5,3202,"Official Website, Amazon","Dark Spot, Nodules, Papules Medium Benzoyl Peroxide  Salicylic Acid  Zinc PCA Spot Treatment"
CeraVe Toner,The Ordinary,"Nodules, Papules",Medium,Centella Asiatica  Azelaic Acid  Salicylic Acid,Exfoliator,sensitive,616.9,3.9,2059,"Nykaa, Official Website, Dermstore","Nodules, Papules Medium Centella Asiatica  Azelaic Acid  Salicylic Acid Exfoliator"
Clinique Serum,Eucerin,"Dark Spot, Nodules, Papules",Medium,Azelaic Acid  Retinol  Salicylic Acid,Cleanser,dry,750.27,4.0,3906,"Sephora, Ulta, Amazon","Dark Spot, Nodules, Papules Medium Azelaic Acid  Retinol  Salicylic Acid Cleanser"
Neutrogena Cleanser,Bioderma,Whiteheads,Low,Zinc PCA  Benzoyl Peroxide,Moisturizer,sensitive,2815.19,4.7,1454,"Sephora, Ulta",Whiteheads Low Zinc PCA  Benzoyl Peroxide Moisturizer
La Roche-Posay Serum,Neutrogena,"Blackheads, Nodules, Whiteheads",Low,Glycolic Acid  Lactic Acid  Niacinamide  Vitamin C,Cleanser,"combination, sensitive",2887.18,4.0,1854,Ulta,"Blackheads, Nodules, Whiteheads Low Glycolic Acid  Lactic Acid  Niacinamide  Vitamin C Cleanser"
Innisfree Exfoliator,Eucerin,"Blackheads, Dark Spot, Whiteheads",Low,Retinol  Glycolic Acid  Zinc PCA,Cleanser,"dry, sensitive",2313.15,3.6,4148,"Sephora, Amazon, Dermstore","Blackheads, Dark Spot, Whiteheads Low Retinol  Glycolic Acid  Zinc PCA Cleanser"
Innisfree Serum,Clinique,"Blackheads, Pustules, Whiteheads",Low,Tea Tree Oil  Hyaluronic Acid  Vitamin C  Benzoyl Peroxide,Serum,oily,1839.76,3.8,2112,Ulta,"Blackheads, Pustules, Whiteheads Low Tea Tree Oil  Hyaluronic Acid  Vitamin C  Benzoyl Peroxide Serum"
Innisfree Exfoliator,Clinique,Whiteheads,Low,Lactic Acid  Retinol  Vitamin C  Azelaic Acid  Zinc PCA,Toner,oily,2840.74,4.0,4730,Sephora,Whiteheads Low Lactic Acid  Retinol  Vitamin C  Azelaic Acid  Zinc PCA Toner
La Roche-Posay Spot Treatment,Neutrogena,"Dark Spot, Pustules, Whiteheads",Low,Hyaluronic Acid  Tea Tree Oil  Retinol  Lactic Acid,Spot Treatment,"dry, normal, sensitive",1626.69,4.3,736,"Official Website, Ulta","Dark Spot, Pustules, Whiteheads Low Hyaluronic Acid  Tea Tree Oil  Retinol  Lactic Acid Spot Treatment"
Innisfree Serum,Cetaphil,"Dark Spot, Nodules",Medium,Niacinamide  Salicylic Acid,Spot Treatment,"normal, oily, sensitive",2359.35,4.1,1052,Amazon,"Dark Spot, Nodules Medium Niacinamide  Salicylic Acid Spot Treatment"
La Roche-Posay Moisturizer,Eucerin,Nodules,High,Tea Tree Oil  Azelaic Acid,Cleanser,combination,2105.73,4.0,502,"Amazon, Ulta, Nykaa",Nodules High Tea Tree Oil  Azelaic Acid Cleanser
La Roche-Posay Spot Treatment,CeraVe,"Blackheads, Nodules, Pustules",Low,Zinc PCA  Azelaic Acid,Cleanser,combination,932.88,4.0,3526,"Dermstore, Sephora","Blackheads, Nodules, Pustules Low Zinc PCA  Azelaic Acid Cleanser"
La Roche-Posay Toner,Neutrogena,"Blackheads, Dark Spot, Nodules",Low,Glycolic Acid  Vitamin C,Toner,"sensitive, dry",2938.68,4.6,2010,"Dermstore, Official Website","Blackheads, Dark Spot, Nodules Low Glycolic Acid  Vitamin C Toner"
CeraVe Moisturizer,Paula's Choice,"Dark Spot, Pustules",Medium,Niacinamide  Retinol  Centella Asiatica  Azelaic Acid  Vitamin C,Spot Treatment,"dry, normal",2086.12,4.0,4706,"Amazon, Official Website, Ulta","Dark Spot, Pustules Medium Niacinamide  Retinol  Centella Asiatica  Azelaic Acid  Vitamin C Spot Treatment"
Cetaphil Cleanser,The Ordinary,Pustules,High,Salicylic Acid  Lactic Acid  Zinc PCA  Azelaic Acid  Tea Tree Oil,Serum,normal,2194.07,5.0,280,"Amazon, Nykaa",Pustules High Salicylic Acid  Lactic Acid  Zinc PCA  Azelaic Acid  Tea Tree Oil Serum
Innisfree Cleanser,Innisfree,Dark Spot,Medium,Niacinamide  Zinc PCA  Centella Asiatica  Hyaluronic Acid  Salicylic Acid,Spot Treatment,"normal, oily",937.83,4.2,464,"Dermstore, Official Website, Ulta",Dark Spot Medium Niacinamide  Zinc PCA  Centella Asiatica  Hyaluronic Acid  Salicylic Acid Spot Treatment
La Roche-Posay Moisturizer,Bioderma,Papules,Medium,Hyaluronic Acid  Lactic Acid  Centella Asiatica  Tea Tree Oil,Serum,"oily, normal, sensitive",1251.99,3.7,620,"Sephora, Dermstore",Papules Medium Hyaluronic Acid  Lactic Acid  Centella Asiatica  Tea Tree Oil Serum
Bioderma Cleanser,Eucerin,Pustules,High,Centella Asiatica  Tea Tree Oil  Lactic Acid,Moisturizer,"dry, normal, oily",2280.73,3.7,3964,"Ulta, Sephora, Nykaa",Pustules High Centella Asiatica  Tea Tree Oil  Lactic Acid Moisturizer
Paula's Choice Serum,La Roche-Posay,"Dark Spot, Papules, Pustules",Medium,Zinc PCA  Niacinamide,Cleanser,"normal, dry",1016.3,4.8,2096,"Ulta, Official Website, Amazon","Dark Spot, Papules, Pustules Medium Zinc PCA  Niacinamide Cleanser"
Clinique Toner,Paula's Choice,"Dark Spot, Papules, Pustules",Medium,Salicylic Acid  Centella Asiatica  Vitamin C,Exfoliator,combination,2933.12,3.6,644,Nykaa,"Dark Spot, Papules, Pustules Medium Salicylic Acid  Centella Asiatica  Vitamin C Exfoliator"
La Roche-Posay Toner,CeraVe,Dark Spot,Medium,Zinc PCA  Hyaluronic Acid,Toner,"sensitive, oily",1973.11,4.0,286,"Dermstore, Official Website, Sephora",Dark Spot Medium Zinc PCA  Hyaluronic Acid Toner
CeraVe Moisturizer,Bioderma,"Blackheads, Nodules, Papules",Low,Glycolic Acid  Benzoyl Peroxide,Cleanser,combination,2302.35,4.6,3122,"Nykaa, Amazon","Blackheads, Nodules, Papules Low Glycolic Acid  Benzoyl Peroxide Cleanser"
Eucerin Cleanser,Neutrogena,"Blackheads, Pustules",Low,Hyaluronic Acid  Vitamin C  Centella Asiatica,Moisturizer,"combination, dry, oily",2816.34,4.5,883,Ulta,"Blackheads, Pustules Low Hyaluronic Acid  Vitamin C  Centella Asiatica Moisturizer"
The Ordinary Exfoliator,Bioderma,"Nodules, Papules",Medium,Benzoyl Peroxide  Vitamin C,Exfoliator,normal,1765.07,4.1,4551,"Ulta, Sephora","Nodules, Papules Medium Benzoyl Peroxide  Vitamin C Exfoliator"
Clinique Exfoliator,Clinique,"Blackheads, Whiteheads",Low,Azelaic Acid  Salicylic Acid  Centella Asiatica  Vitamin C,Cleanser,normal,938.87,3.6,1858,"Official Website, Nykaa, Ulta","Blackheads, Whiteheads Low Azelaic Acid  Salicylic Acid  Centella Asiatica  Vitamin C Cleanser"
Cetaphil Spot Treatment,Clinique,"Dark Spot, Whiteheads",Low,Niacinamide  Tea Tree Oil  Lactic Acid  Glycolic Acid,Serum,"oily, normal, dry",2746.06,4.1,503,Official Website,"Dark Spot, Whiteheads Low Niacinamide  Tea Tree Oil  Lactic Acid  Glycolic Acid Serum"
Bioderma Cleanser,Eucerin,"Blackheads, Dark Spot",Low,Retinol  Azelaic Acid  Niacinamide  Centella Asiatica  Vitamin C,Moisturizer,"sensitive, normal",2352.7,4.2,3960,Amazon,"Blackheads, Dark Spot Low Retinol  Azelaic Acid  Niacinamide  Centella Asiatica  Vitamin C Moisturizer"
Neutrogena Moisturizer,La Roche-Posay,"Blackheads, Papules, Pustules",Low,Retinol  Vitamin C  Centella Asiatica  Azelaic Acid  Tea Tree Oil,Serum,"dry, normal",2441.78,4.9,1388,Official Website,"Blackheads, Papules, Pustules Low Retinol  Vitamin C  Centella Asiatica  Azelaic Acid  Tea Tree Oil Serum"
La Roche-Posay Exfoliator,Cetaphil,Papules,Medium,Tea Tree Oil  Vitamin C  Retinol  Glycolic Acid,Serum,combination,1885.27,4.1,4370,"Sephora, Nykaa",Papules Medium Tea Tree Oil  Vitamin C  Retinol  Glycolic Acid Serum
Paula's Choice Toner,Neutrogena,"Blackheads, Nodules, Papules",Low,Centella Asiatica  Retinol,Moisturizer,oily,2607.27,3.9,1430,"Dermstore, Nykaa","Blackheads, Nodules, Papules Low Centella Asiatica  Retinol Moisturizer"
Eucerin Moisturizer,Neutrogena,"Blackheads, Nodules",Low,Hyaluronic Acid  Zinc PCA  Benzoyl Peroxide,Exfoliator,"sensitive, dry",2512.06,3.9,595,Sephora,"Blackheads, Nodules Low Hyaluronic Acid  Zinc PCA  Benzoyl Peroxide Exfoliator"
La Roche-Posay Moisturizer,Neutrogena,"Dark Spot, Nodules, Whiteheads",Low,Retinol  Zinc PCA  Glycolic Acid,Serum,"sensitive, combination",1015.96,3.8,2054,"Amazon, Official Website, Nykaa","Dark Spot, Nodules, Whiteheads Low Retinol  Zinc PCA  Glycolic Acid Serum"
La Roche-Posay Serum,Eucerin,"Nodules, Papules",Medium,Tea Tree Oil  Hyaluronic Acid  Niacinamide  Azelaic Acid  Vitamin C,Serum,"combination, normal",2012.95,4.9,2281,"Sephora, Nykaa","Nodules, Papules Medium Tea Tree Oil  Hyaluronic Acid  Niacinamide  Azelaic Acid  Vitamin C Serum"
Neutrogena Exfoliator,Neutrogena,"Blackheads, Papules, Whiteheads",Low,Retinol  Glycolic Acid  Benzoyl Peroxide,Spot Treatment,"sensitive, oily",2546.88,4.2,2869,"Ulta, Amazon","Blackheads, Papules, Whiteheads Low Retinol  Glycolic Acid  Benzoyl Peroxide Spot Treatment"
Innisfree Serum,The Ordinary,"Papules, Whiteheads",Low,Retinol  Tea Tree Oil  Azelaic Acid  Niacinamide  Vitamin C,Exfoliator,"normal, sensitive, oily",2893.99,4.4,1996,"Amazon, Official Website","Papules, Whiteheads Low Retinol  Tea Tree Oil  Azelaic Acid  Niacinamide  Vitamin C Exfoliator"
Bioderma Cleanser,The Ordinary,"Dark Spot, Pustules, Whiteheads",Low,Lactic Acid  Niacinamide  Retinol,Cleanser,normal,514.29,3.9,2705,Nykaa,"Dark Spot, Pustules, Whiteheads Low Lactic Acid  Niacinamide  Retinol Cleanser"
The Ordinary Spot Treatment,Paula's Choice,Nodules,High,Azelaic Acid  Benzoyl Peroxide  Hyaluronic Acid  Niacinamide,Cleanser,"combination, normal",540.0,3.8,113,Ulta,Nodules High Azelaic Acid  Benzoyl Peroxide  Hyaluronic Acid  Niacinamide Cleanser
The Ordinary Moisturizer,Neutrogena,Pustules,High,Glycolic Acid  Retinol  Vitamin C  Salicylic Acid  Tea Tree Oil,Serum,"sensitive, dry, oily",2453.66,4.5,2648,Ulta,Pustules High Glycolic Acid  Retinol  Vitamin C  Salicylic Acid  Tea Tree Oil Serum
CeraVe Cleanser,La Roche-Posay,"Papules, Whiteheads",Low,Retinol  Zinc PCA  Centella Asiatica  Hyaluronic Acid  Benzoyl Peroxide,Exfoliator,"normal, sensitive, dry",2626.21,4.2,1961,"Ulta, Dermstore","Papules, Whiteheads Low Retinol  Zinc PCA  Centella Asiatica  Hyaluronic Acid  Benzoyl Peroxide Exfoliator"
Bioderma Cleanser,Clinique,"Pustules, Whiteheads",Low,Salicylic Acid  Tea Tree Oil  Niacinamide  Zinc PCA  Azelaic Acid,Moisturizer,"oily, sensitive, combination",2288.64,4.7,2988,Amazon,"Pustules, Whiteheads Low Salicylic Acid  Tea Tree Oil  Niacinamide  Zinc PCA  Azelaic Acid Moisturizer"
Paula's Choice Moisturizer,Innisfree,Pustules,High,Salicylic Acid  Zinc PCA  Retinol  Azelaic Acid,Toner,"sensitive, combination, dry",2101.52,3.6,4627,Nykaa,Pustules High Salicylic Acid  Zinc PCA  Retinol  Azelaic Acid Toner
Innisfree Serum,CeraVe,"Dark Spot, Nodules, Papules",Medium,Zinc PCA  Hyaluronic Acid  Salicylic Acid,Moisturizer,"normal, dry",820.65,4.5,3122,"Nykaa, Amazon","Dark Spot, Nodules, Papules Medium Zinc PCA  Hyaluronic Acid  Salicylic Acid Moisturizer"
Neutrogena Moisturizer,Cetaphil,"Pustules, Whiteheads",Low,Niacinamide  Centella Asiatica  Hyaluronic Acid,Cleanser,"combination, dry",411.49,4.2,2244,"Official Website, Sephora, Dermstore","Pustules, Whiteheads Low Niacinamide  Centella Asiatica  Hyaluronic Acid Cleanser"
La Roche-Posay Moisturizer,Clinique,Dark Spot,Medium,Vitamin C  Salicylic Acid,Spot Treatment,"combination, dry",1414.23,3.7,3904,"Sephora, Official Website",Dark Spot Medium Vitamin C  Salicylic Acid Spot Treatment
Cetaphil Spot Treatment,Innisfree,Dark Spot,Medium,Tea Tree Oil  Centella Asiatica  Glycolic Acid,Toner,combination,1462.77,4.7,847,"Official Website, Sephora",Dark Spot Medium Tea Tree Oil  Centella Asiatica  Glycolic Acid Toner
CeraVe Spot Treatment,Eucerin,"Blackheads, Nodules, Papules",Low,Vitamin C  Hyaluronic Acid  Azelaic Acid  Benzoyl Peroxide  Retinol,Spot Treatment,"combination, sensitive, normal",1678.3,4.4,714,Nykaa,"Blackheads, Nodules, Papules Low Vitamin C  Hyaluronic Acid  Azelaic Acid  Benzoyl Peroxide  Retinol Spot Treatment"
Cetaphil Exfoliator,Bioderma,"Dark Spot, Pustules",Medium,Vitamin C  Zinc PCA  Lactic Acid  Niacinamide,Serum,"oily, dry",1467.54,3.5,1854,"Nykaa, Official Website","Dark Spot, Pustules Medium Vitamin C  Zinc PCA  Lactic Acid  Niacinamide Serum"
Innisfree Moisturizer,Cetaphil,"Nodules, Pustules",High,Zinc PCA  Niacinamide  Lactic Acid,Serum,"normal, sensitive",1496.88,3.9,113,"Official Website, Nykaa","Nodules, Pustules High Zinc PCA  Niacinamide  Lactic Acid Serum"
Paula's Choice Cleanser,Bioderma,"Blackheads, Nodules, Whiteheads",Low,Zinc PCA  Niacinamide,Serum,"normal, combination, sensitive",1426.89,4.5,3934,"Sephora, Nykaa, Dermstore","Blackheads, Nodules, Whiteheads Low Zinc PCA  Niacinamide Serum"
La Roche-Posay Exfoliator,Cetaphil,"Papules, Pustules",Medium,Niacinamide  Hyaluronic Acid  Lactic Acid,Toner,normal,785.82,4.6,3362,Amazon,"Papules, Pustules Medium Niacinamide  Hyaluronic Acid  Lactic Acid Toner"
Clinique Moisturizer,Cetaphil,Whiteheads,Low,Niacinamide  Tea Tree Oil  Benzoyl Peroxide  Lactic Acid  Zinc PCA,Toner,"combination, oily, dry",2864.75,4.4,855,"Sephora, Nykaa",Whiteheads Low Niacinamide  Tea Tree Oil  Benzoyl Peroxide  Lactic Acid  Zinc PCA Toner
Clinique Cleanser,La Roche-Posay,"Papules, Pustules",Medium,Azelaic Acid  Vitamin C  Zinc PCA  Glycolic Acid  Retinol,Toner,"combination, oily",2081.7,5.0,4786,"Amazon, Sephora, Dermstore","Papules, Pustules Medium Azelaic Acid  Vitamin C  Zinc PCA  Glycolic Acid  Retinol Toner"
Clinique Cleanser,Eucerin,"Blackheads, Pustules",Low,Vitamin C  Centella Asiatica  Zinc PCA,Toner,sensitive,1417.9,3.9,3320,"Nykaa, Official Website","Blackheads, Pustules Low Vitamin C  Centella Asiatica  Zinc PCA Toner"
Innisfree Cleanser,The Ordinary,"Dark Spot, Nodules",Medium,Azelaic Acid  Zinc PCA  Tea Tree Oil  Hyaluronic Acid,Cleanser,combination,1113.76,3.6,641,"Dermstore, Ulta, Official Website","Dark Spot, Nodules Medium Azelaic Acid  Zinc PCA  Tea Tree Oil  Hyaluronic Acid Cleanser"
The Ordinary Serum,Clinique,Dark Spot,Medium,Salicylic Acid  Centella Asiatica  Benzoyl Peroxide  Zinc PCA  Hyaluronic Acid,Cleanser,"dry, normal, oily",804.41,4.4,4312,Ulta,Dark Spot Medium Salicylic Acid  Centella Asiatica  Benzoyl Peroxide  Zinc PCA  Hyaluronic Acid Cleanser
Innisfree Moisturizer,Innisfree,"Nodules, Whiteheads",Low,Lactic Acid  Retinol  Niacinamide,Exfoliator,"oily, dry",1977.78,4.0,3568,"Official Website, Ulta","Nodules, Whiteheads Low Lactic Acid  Retinol  Niacinamide Exfoliator"
Innisfree Spot Treatment,La Roche-Posay,"Dark Spot, Pustules, Whiteheads",Low,Lactic Acid  Zinc PCA  Salicylic Acid  Retinol  Centella Asiatica,Serum,"combination, sensitive, normal",1124.77,4.3,1367,"Sephora, Nykaa, Amazon","Dark Spot, Pustules, Whiteheads Low Lactic Acid  Zinc PCA  Salicylic Acid  Retinol  Centella Asiatica Serum"
